Timestamp	Do you work in the climbing industry full time or part time?	How many years of experience do you have working in climbing?	How old are you?	What is your MAIN source of income within the climbing industry? 	What is your [hourly] salary in this PRIMARY position? [include currency-USD$___, etc]	What SECONDARY job do you make income from within the climbing industry?	What is your [hourly] salary in this SECONDARY position? [include currency-USD$___, etc]	What TERTIARY job do you make income from within the climbing industry?	What is your [hourly] salary in this TERTIARY position?	Where do you work? [Country/State/City] 	What is the minimum wage in the city/area where you work? 	Does your climbing job  provide you with medical  coverage?	Do you feel you are compensated  fairly for the work you do?	Have you experienced unsafe working conditions in  your time working in the climbing industry?	Have you experienced harassment, racism,  sexism, homophobia, transphobia, or any  other type of discrimination in the workplace?  Check yes to ALL that apply.	What is your  race?	What is your  gender?	Share any additional reflections or experiences working in the climbing industry [optional].
7/16/2020 15:55:57	Full Time	3-5	22-30	Climbing Instructor (for Children)	$7.85	Selling drugs	300000			Kansas City, MO	$7.65	No	Yes	Yes	Racism, Sexism, Homophobia, Transphobia, MAGA	Biracial	Non Binary	
7/16/2020 14:54:19	Part Time	1-3	18-22	Gym Employed Routesetter	$15 per hour CAD	Climbing Gym Employee (Front Desk)	14	Climbing Instructor (for Children)	$14 per hourCAD	Ottawa, ontario, canada	$14 per hour CAD	No	No	Not really but routesetting does come with its safety converns	Sexism	White	Female	People think i dont do as good of a job when i set because im a woman. I also make less than my male coworkers 
7/16/2020 16:26:06	Full Time	1-3	22-30	Gym Employed Routesetter	19-USD					SF/CA/USA	15-USD	Yes	Yes	Back wall maintenance had no lighting 		Asian	Female	I am lucky enough to have a good group of people who are all men. They are encouraging and I know they have my back. 
7/16/2020 16:32:30	Full Time	3-5	22-30	Gym Employed Routesetter	$12	Climbing Instructor (for Adults)	15	Climbing Gym Employee (Management)	12	Woburn, MA, USA	11.75	No	No	Yes	Sexism	White	Male	
7/16/2020 17:08:26	Part Time	3-5	18-22	Climbing Gym Employee (Front Desk)	15 cad	Safety inspections. 	15	Climbing Instructor (for Children)	15 cad	Ontario Canada	$14 cad per hour. 	No	No	No	People being assholes in general. 	White	Male	None. 
7/16/2020 17:10:00	Seasonally	1-3	22-30	Gym Employed Routesetter	None we all volunteer and get  paid in food the owner brings  and free memberships plus  discounts					Fairbanks/Alaska/USA	9.8	No	No	One time I got a T nut fucked up and the owner upset 		Hispanic	Male	No
7/16/2020 18:09:11	Part Time	1-3	22-30	Gym Employed Routesetter	15 USD	Climbing Gym Employee (Front Desk)	14.4	NA	0	Portland OR	12.5	Full time employees are eligible	No	Yes		White	Male	
7/16/2020 18:36:54	Full Time	0-1	22-30	Gym Employed Routesetter	17.31					USA	N/A	Not Sure	N/A	No		Asian	Male	
7/16/2020 19:25:16	Casual	1-3	Under 18	Climbing Instructor (for Children)	AUD $13.50	Climbing Gym Employee (Front Desk)	13.5	Climbing Instructor (for Adults)	AUD $13.5	Melbourne, Victoria, Australia	For under 18's minimum wage  is $7.25	No	Yes	No, but I have been involved in an accident in which a climber fell  onto me and knocked me out however I take full responsibility for  that incident as I was standing in the wrong place at the wrong time.  Further safety precautions were put in place to avoid another  similar incident.		White	Female	It's been wonderful and in my experiences the community has been a very welcoming place. The gym I work at is very tight  knit and I would consider many of my co-workers and customers to be an extension of my family.
7/16/2020 19:43:46	Full Time	3-5	30-40	Gym Employed Routesetter	15	Climbing Instructor (for Children)	15	Gym Employed Climbing Personal Trainer/Coach	25	Houston Texas USA	7.25	No	Mostly yes	Before we implemented full OSHA safety standards when we work  at heights, yes		White	Male	
7/16/2020 19:53:22	Full Time	5-10	22-30	Gym Employed Routesetter	£8.75	Gym Employed Climbing Personal Trainer/Coach	8.75			Birmingham	£7.50	nhs	No	Yes		White	Male	
7/16/2020 20:36:29	Part Time	1-3	30-40	Climbing Team Coach	14.5	Climbing Instructor (for Children)	13.5	Gym Employed Routesetter	$13	Chicago IL USA	$13	No	No	Yes		White	Female	
7/16/2020 20:57:01	Seasonally	5-10	22-30	Climbing Instructor (for Children)	$7.25 USD	Climbing Gym Employee (Management)	7.25			California, pennsylvania, usa	7.26	No	No	Yes		White	Male	
7/16/2020 22:32:00	Part Time	10+	30-40	Gym Employed Routesetter	18	Gym Employed Climbing Personal Trainer/Coach	20			Pennsylvania, USA	7.25	No	Yes	No	Sexism	White	Male	
7/16/2020 22:46:50	Part Time	1-3	18-22	Gym Employed Routesetter	14 usd					Virginia usa	7.25	No	No	No	Sexism	White	Female	
7/16/2020 22:53:42	Part Time	1-3	18-22	Climbing Gym Employee (Management)	8.5	Gym Employed Routesetter	8.5	Climbing Instructor (for Adults)	8.5	Athens /Ga/ usa	7.25	No	No	No	Sexism	White	Female	
7/16/2020 22:56:13	Full Time	10+	30-40	Head coach of elite, intermediate, rec,  youth, and collegiate teams for a large gym chain.	$43,000/year USD, but i averaged  50 hrs/week so it’s about $16/hour.  No overtime because I’m salary -  routesetting was also part of my duties. 	Gym Employed Routesetter		In addition to private coaching on occasion,  I also did many building maintencr projects  at the various locations such as welding,  building an automated crack, building custom  benches, fixing things, etc. 	$20/hour usd for private coaching.  Sometimes got paid extra for  maintenance work, sometimes it  was considered part of my salaried  duties. 	Watertown, MA, USA	$11/hour, may have gone up  to $15/hour recently. 	Yes	No	Safety third. 		White	Male	I actually left the climbing industry after 12 years last August. Information listed is from 2019. Right before I left, they offered  me a $5000/year raise (first raise offer in three years with that gym). They recruited me from a gym in TX where I was  assistant head coach. I made the same salary as head coach in a HCOL area (so really, I was making less) as I did as an  assistant coach in a much lower COL area. I’m filling this survey out because my info is recent enough. P.S I’m back in  TX now and was offered a director of coaching position (that I did not apply for) when I first moved back. I didn’t accept  so we never discussed salary but the owner joked, “We’ll create the position for the right person, which we think you are,  but don’t think you’re gonna be making $65,000/year or anything like that” so I have no doubt that job would’ve been  underpaid for the duties/experience/responsibilities as well. If it’s relevant to your salary survey, I have a BS in geology. 
7/16/2020 23:03:24	Part Time	3-5	22-30	Climbing Gym Employee (Front Desk)	16.50 CAD	Gym Employed Routesetter	17.5	Climbing Instructor (for Adults)	17.5	BC Canada	14.6	No	Yes	No		White	Female	
7/16/2020 23:16:05	Full Time	5-10	22-30	Climbing Gym Employee (Management)	19.50$					Arlington/Virginia/US	No clue	Yes	No	Not for about 2-3 years probably 	Sexual Harassment	White	Male	
7/16/2020 23:16:38	Part Time	3-5	30-40	Climbing Team Coach	15	Freelance Routesetter	0	Climbing Gym Employee (Front Desk)	9	Great Falls/Montana/United States	8.5	No	I'm paid based on how many  kids are on the team. 	Never		White	Male	Very inclusive and diverse from what I've seen. I've met nearly all my friends through climbing. We share a passion and that  overcomes any individual differences we may have. I’ve met people from all walks of life and seen them all accepted into  the community.
7/16/2020 23:17:06	Part Time	1-3	22-30	Climbing Team Coach	USD$14.00/hr 	Climbing Instructor (for Adults)	14	Climbing Gym Employee (Front Desk)	USD$14.00/hr	Arlington, VA, USA 	$7.25/hr	No	Yes	No		White	Female	
7/16/2020 23:45:03	Part Time	5-10	18-22	Climbing Gym Employee (Management)	$9	Gym Employed Routesetter	8.5	Climbing Instructor (for Adults)	8.5	West Lafayette/Indiana/USA	$7.25	No	No	No		Asian	Male	
7/16/2020 23:52:35	Part Time	1-3	22-30	Gym Employed Routesetter	$9.50/hour USD	Climbing Instructor (for Adults)		Climbing Gym Employee (Management)	10.50/hour USD	Bozeman/MT/USA	8.10/hour USD	Yes	Yes	Yes, self imposed though		White	Male	
7/16/2020 23:53:45	Part Time	3-5	18-22	Climbing Instructor (for Adults)	£17.50 an hour	Gym Employed Routesetter	18.75	Climbing Gym Employee (Front Desk)	£9.15	London, UK	£10	No	Yes	No	No, you should also have a no button here.	Black	Male	Definitely not racism or anything like that. Not many black people do climbing so i definitely get stares or people  will be judging my climbing a lot.
7/16/2020 23:57:59	Full Time	3-5	18-22	Climbing Team Coach	16 CAD					Squamish BC CAnada	IDK	Yes	a few more dollars an hour would  feel more appropriate. 	Yes.				
7/17/2020 0:09:40	Full Time	3-5	22-30	Climbing Gym Employee (Management)	19.25	Climbing Instructor (for Children)	19.25	Climbing Instructor (for Adults)	19.25	Arlington, Virgina, USA	7.25	Yes	No	No	Sexism, Transphobia, Anti-semitism	White	Female	I work as a front desk supervisor and climbing team coach. Salaries have gone up dramatically-- in 2016, my role was paid  $15/hour and entry level was $10.50.  Now entry level is $14 and my role starts at $18, wages are still not quite high enough.  In nearby DC and MD, the minimum wage is now $15. 
7/17/2020 0:34:52	Full Time	1-3	30-40	Climbing Gym Employee (Management)	16	Climbing Gym Employee (Management)	16			Virginia	7.5	It used to, but due to cost  and position cutting, it doesn't  anymore for me.	No	No	Racism, Sexism, Ageism, 	Asian	Male	There are people who are dicks because employees look too young to have a lot of climbing experience, even when policies are  dictated by AAC statistics and best practices. These people also tend to exhibit general ageism and sexism discrimination.
7/17/2020 0:38:06	Full Time	1-3	22-30	Climbing Instructor (for Children)	$15	Climbing Gym Employee (Front Desk)	$12			Bend/OR/USA	11.25	Have a optional plan for full  time employees. I’m not on it	No	Yes, got a concussion while doing a drill in a class offered for  instructors. Had to use workers compensation	No	White	Female	I have to work part time in the school year for coaching but full time in the summer with summer camp. I was offered front desk  hours just before the pandemic started. I wish I was paid more and given regular hours. 
7/17/2020 1:36:20	Full Time	3-5	22-30	Gym Employed Routesetter	16.5					Nashville, TN, USA	7.25	No	No	Nothing out of the normal realm of risk. 	Sexism	White	Prefer not to say	
7/17/2020 6:09:27	Full Time	5-10	22-30	Gym Employed Routesetter	30					New York, New York, USA	15	Yes	Yes	Rarely	Sexism	White	Male	
7/17/2020 6:29:12	Part Time	5-10	22-30	Climbing Gym Employee (Front Desk)	$12	Gym Employed Routesetter	$12 per hour (stripping/ cleaning holds)/ $16 per boulder set/ $32 per top rope route set 	Gym Employed Climbing Personal Trainer/Coach	$12	Randolph/NJ/USA	I'm not sure	No	I feel I do a lot and should probably be  paid more, but I work at a smaller gym  that can't really afford to pay me more	No	No	White	Male	I love it, but it's very hard to find yourself a job that provides a comfortable living wage, even after all of my experience in the field.
7/17/2020 8:21:00	Part Time	3-5	22-30	Climbing Team Coach	13.65 USD					Bloomington/Minnesota/USA	9.5	No	No	Rarely	No	White	Male	
7/17/2020 9:53:40	Part Time	0-1	18-22	Climbing Gym Employee (Front Desk)	$10.82	Climbing Instructor (for Children)	$12			Burlington, Vermont	10.82	No	Yes	No	No	White	Male	
7/17/2020 10:08:40	Part Time	1-3	22-30	Climbing Gym Employee (Front Desk)	9 usd					Denver CO	12	No	No	No	No	White	Male	
7/17/2020 11:32:47	Part Time	1-3	22-30	Climbing Team Coach	$12/hr	Climbing Gym Employee (Front Desk)	$12/hr			Burlington, VT, USA	$10.78	No	No	No	No	White	Male	
7/17/2020 11:48:06	Full Time	5-10	22-30	Climbing Gym Employee (Front Desk)	18.75	Climbing Instructor (for Adults)	18.75	Gym Employed Routesetter	18.75	New York, NY USA	15	Yes	Yes	Not at my present location. My previous gym, yes. 	No	Biracial	Male	Love it
7/17/2020 12:51:11	Full Time	3-5	22-30	Climbing Gym Employee (Management)	15 usd	Gym Employed Routesetter	15usd			Burlington VT, USA	10.96	No	No	Yes	Sexism, Sexual harassment 	White	Female	
7/17/2020 16:44:52	part time and seasonally	3-5	18-22	Climbing Gym Employee (Front Desk)	$9.00/hour USD	Staff belayer	$7.25 USD			Nashville, TN, USA	$7.25	No	Yes	rarely, but it IS the indoor climbing industry		White	Female	
7/17/2020 16:54:36	Full Time	3-5	22-30	Climbing Gym Employee (Management)	13.25 Usd	Guide	50$ USD			St. Paul / Minnesota / United States 	8.15$ USD	Yes	No	Yes	No	White	Male	
7/17/2020 16:55:38	Full Time	5-10	22-30	Gym Employed Routesetter	About $25					Seattle, WA, USA	About $15	Yes	Yes	Yes, but not at current gym	No	Asian	Female	
7/17/2020 17:26:02	Seasonally	0-1	18-22	Climbing Instructor (for Children)	15 USD	None	0 USD			Brooklyn, NY, USA	15 USD	No	No	No	No	Asian	Female	
7/17/2020 17:36:39	Legally termed 'Casual'  but with part time hours	0-1	22-30	Climbing Gym Employee (Front Desk)	24.36AUD (minimum wage  for fitness industry)	Gym Employed Routesetter	24.36AUD (minimum wage  for fitness industry)	Climbing Instructor (for Adults)	24.36AUD (minimum wage for fitness industry)	Queensland, Australia	24.36AUD	No	No	Yes. Particularly in route setting	Sexism	White	Female	totally unprofessional environment 
7/17/2020 18:00:27	Part Time	0-1	22-30	Climbing Gym Employee (Front Desk)	$9.50 USD					Montana	$9.00 USD	No	Yes	no	Sexism	White	Male	
7/17/2020 18:06:40	Part Time	0-1	22-30	Climbing Gym Employee (Front Desk)	$15.50/hr (CAD) 	N/A	N/A	N/A	N/A	BC, Canada 	$14.60/hr CAD 	No	Yes	No	No	Biracial	Female	Honestly I love it. Super chill job. 
7/17/2020 18:25:06	Seasonally	1-3	Under 18	Climbing Gym Employee (Front Desk)	£8ph	Student				Glasgow, UK	£5	No	Yes	No	No	White	Female	
7/17/2020 19:42:49	Full Time	3-5	22-30	Climbing Team Coach	$16 - USD	Climbing Gym Employee (Management)	$16 - USD	Climbing Gym Employee (Management)	$16 - USD	Prefer not to disclose, Massachusetts, USA 	$12.75 - USD	Reimbursement is available,  but only for certain staff members.  Usually you must be in a  management position.	It honestly depends on the day.  Some days I am extremely busy  and feel like 	Not that I can thing of off the top of my head.	Sexism	White	Female	I've worked at a few different gyms as desk staff, coach, instructor, assistant manager, marketing, route setting... you name it.  Some were small chains with a few locations and some big chains with a lot of locations.   Out of everywhere I have worked I have found that the places where I felt most respected and valued were the smaller chains.  The big drawback I have found working for small chains is that they are typically unable or unwilling to offer any benefits outside  of a gym membership and pro deals and tend to try and keep as many staff as possible working part time so they aren't required  to offer any health insurance.  It's kind of a bummer that to be felt like I am being respected in my workplace I need to forgo working for a company that will offer  me paid vacation, health insurance, a 401k.  In addition to that, as a woman, I have had male managers (at bigger chains) become combative with me for asking questions  about policies or clarification about a task that has been asked of me. I have found that small chains tend to be much more open  to teaching skills (such as route setting, coaching, management skills, etc.) and encourage questions instead of putting each  employee in a box where they are expected to already know everything.
7/17/2020 20:44:33	Part Time	0-1	22-30	Climbing Gym Employee (Front Desk)	9.75					Philadelphia PA USA	7.25	No	No	Not provided gloves to work with  cleaning chemicals 	Racism, Sexism, Homophobia, Transphobia	Asian	Non Binary	
7/17/2020 20:54:32	Part Time	1-3	22-30	Climbing Gym Employee (Front Desk)	16-18 CAD,  I had multiple roles					Canada	14	No	No	Yes	Sexism, anti-semitism	White and Jewish	Female	Often had to speak louder to have my voice heard, often what I said would come from other places and be listened to  despite my having suggested something fist. 
7/17/2020 20:57:53	Part time (summer 2019,  2016, 2015, and 2014)	1-3	22-30	Summer Camp staff	$11 (USD) in 2019, having  worked 3 previous summers	Climbing Gym Employee (Front Desk)	$11 (USD) (same as primarily) 			Saint Paul/Minnesota/USA	$9.86 summer 2019.  (Was $7.25 in 2014 when  I started at $9.50). All USD	No	It depended on the summer. I always was  fine with the pay but sometimes the hours  sucked. My second summer I worked 50  hours a week sometimes as a part time  employee, overtime only happened if you  worked more than 80 hours over the 2 week  pay period (which I’m not sure is legal). Also  the camper to staff ratio sucked the first  summer (rarely sucked the other summers)	One time staff ratio got messed up, so i was responsible for 30  6-9 year old day camp kids by myself. But I wasn’t the only  staff in the gym so other staff helped watch my campers  that afternoon.	No	White	Female	We got a free membership and pro-deals. Overall, good summer job for me. I marked part time because  that is what the gym considered me even though I would only work in the summer and quit every fall.  (I went to college 9 hours away). Made a lot of friends and gained a lot of useful skills. I didn’t get a  lot of the official instruction (on guiding, coaching, etc) beyond desk staff just because they always  knew I would be leaving in 3 months. I never considered it becoming a long term/full time career  which might have changed how I felt about it otherwise.
7/17/2020 21:24:18	Part Time	0-1	22-30	Climbing Gym Employee (Front Desk)	$10.00 USD 	Belayer (parties/groups/ introductory classes/ etc)	$10 USD (salary gets  shared across positions) 	Climbing Instructor (for Children)	$10 USD (paid same across the positions)	Philadelphia PA USA 	7.25	Only full-time which majority of time  reserved for management 	No	Unsure 	Racism, Sexism, Homophobia, Transphobia,  All of these were more frequently  microagressions rather than macro,  however it did make the overall culture  uncomfortable. Most fellow coworkers were  fine. Management was the issue. 	Hispanic	Transmasc	My gym (like many) was white cis male dominated, the toxic behaviours were very clear. They continued  to build new gyms yet claimed they could not afford to pay staff more yet claimed they were doing the  best they could. I was never allowed to play music in Spanish unless it was one song in between white  boy music. I got in trouble and got nearly fired for making the same mistakes my white co-workers did -  they did not have the same talks. I was told by a manager to "grow some balls" when I was having rope  trouble on a route when we happened to be climbing outdoors (he mistook my rope trouble for being  scared but regardless even if I was scared that's no way to talk to someone). It was very typical and visibly  the same as is seen in many places in the outdoor industry. My only raise was from 9.25 to $10 even tho  I was front desk key holder , instructor of intro classes, cleaned the whole gym, belayer for parties and  groups, finder of belayer for parties, supposedly had to find people who would be good employees for  parties (I'm not HR) , substitute youth coach/ coach for seasonal camps). I was the only latin@ the whole  time during my year of working there. While management got better at hiring queers near my end, they still  hired predominantly white cis men . One time they banned the use of the word "queer" by staff. We said  screw that (we being the queer staff). Management made inppropriate jokes about women. Management  was fine when a desk staff would make inappropriate jokes about women. I thought I would enjoy it at first  but now I know that unless I work exclusively with BIPOC I will not be working in the climbing industry  again. Management frequently incorrectly paid new hires. Management frequently delayed raises on paper  (after stating someone was given a raise) and payroll corrections. One time management raised belayer pay  to $10/hr then the next week dropped it back down (I believe to 8.50/hr the original base pay for just belaying)  without notice to anyone. Extremely illegal but the raise was never on paper which is why it wasnt illegal.  Thanks for making this!
7/17/2020 21:27:49	Part Time	3-5	22-30	Climbing Instructor (for Children)	10.75	Climbing Instructor (for Adults)	$13 hourly if classes are partly full,  $26/hr if classes are completely fulll,  $30/hr for private lessons	Climbing Gym Employee (Front Desk)	$10.75 hourly	Philadelphia, PA	$8.25/hr	No	No	While I’m not expected to work when the gym reopened  during the pandemic, our desk staff is.Management  (I.e. owners and executives) are stubborn when it comes  to making changes that would help the staff because then  they can’t open a new location. I don’t trust them to do the  right thing for the staff. 	Racism, Sexism, Homophobia	Biracial	Male	The product is typically fantastic: routes are good, and the staff are enthusiastic and helpful. Management  of most local ‘institutions’ are often from an older generation of climbers who don’t see the importance of  inclusivity and employee retention. As a result, we see consistent turnover from passionate climbers who  can’t handle the company’s stance on partnering with organizations such as PHLASH and  Brothers of  Climbing or providing opportunities for Underrepresented communities to get involved in climbing such as  scholarships for youth programs. 
7/18/2020 2:15:43	Full Time	5-10	22-30	Climbing Gym Employee (Management)	$15	Climbing Gym Employee (Front Desk)	$15	Gym Employed Climbing Personal Trainer/Coach	$15	Davis, CA	$12	No	Yes	No	Racism, Sexism	South Asian 	Female	
7/18/2020 3:19:47	Part Time	0-1	18-22	Climbing Gym Employee (Front Desk)	24 AUD					Melbourne/Victoria/Australia	20	No	Yes	No	No	Asian	Female	
7/18/2020 12:56:31	Seasonally	1-3	18-22	Climbing Gym Employee (Management)	$11/ hr (USD)	Climbing Gym Employee (Front Desk)	$9.75/hr (USD)	Climbing Instructor (for Adults)	$11/hr (USD)	Champaign/IL/USA	$8.25	Not Sure	Yes	No	No	White	Female	For the most part I have felt safe and comfortable working in the climbing industry, however I am lucky to  work for a great community on my college campus so my experiences may be different from someone  working in standard gym.
7/18/2020 14:16:45	Part Time	1-3	22-30	Climbing Gym Employee (Front Desk)	11					Cincinnati Ohio USA 	8.7	No	No	No	No	White	Female	
7/18/2020 14:53:37	Full Time	5-10	22-30	Membership department	20 USD	Climbing Instructor (for Adults)	14 USD	Climbing Gym Employee (Front Desk)	14 USD	Arlington, VA, USA	7.25 USD	Yes	No	Yes, but they've improved considerably	Racism, Sexism	Biracial	Female	Hopeful that someday this will be a sustainable and truly enjoyable way to make a living!
7/18/2020 17:27:17	Part Time	5-10	30-40	Climbing Team Coach	$25					NY/NY/USA	$15	No	Yes	no	Racism	White	Male	
7/18/2020 19:57:56	Part Time	1-3	18-22	Climbing Gym Employee (Management)	14 USD	Climbing Gym Employee (Front Desk)	14 USD			Boston Massachusetts 	13 USD	No	No	No	No	Hispanic	Male	
7/19/2020 1:32:23	Full Time	1-3	22-30	Gym Employed Routesetter	24 usd	Climbing Instructor (for Adults)	30 usd			WY	11 usd/hr	Yes	Yes	yes	Racism, Sexism, Homophobia, Transphobia	Indigenous	Male	
7/19/2020 6:02:20	Full Time	10+	40-60	Industry	$33					Independence, MO	$9	Yes	Yes	Yes but corrected when ID’d	No	Asian	Male	
7/19/2020 8:15:09	Part Time	1-3	22-30	Climbing Gym Employee (Front Desk)	£7.70	Technician at a university	£11.25	Freelance designer/fabricator 	£27.70 (£250 basic day rate) 	Kingston upon thames 	£7.70 	Not Sure	They give us free membership for Me and  a spouse. And free access to all other  london gyms. I still feel i should be payed a  london living wage for my work. 	Extraction in the gym is terrible. We all have black bogies of dust  after shifts. They do not put a limit on out gym numbers. Its way  too busy most weekend. I worry that with opening back we will  have no choice but to interact with customers and auto belay  sessions are to continue and we must put on harnesses. 	Sexism	White	Female	I love where i work. Of all the places this has had the best community, but i do think that makes it hard  to call out your superiors if they are you friends. 
7/19/2020 15:14:02	Part Time	1-3	18-22	Climbing Instructor (for Adults)	$11/hr USD	Gym Maintenance and Safety Inspections 	$11.75/hr USD			NJ, USA	$11	No	No	No	No	White	Male	
7/19/2020 17:05:36	Part Time	3-5	22-30	Climbing Gym Employee (Front Desk)	$12 USD	Gym Employed Routesetter	$12 USD	Climbing Instructor (for Adults)	$12 USD	Burlington/ Vermont/ USA	11	No	Yes	no	No	White	Male	
7/19/2020 18:16:50	Part Time	1-3	22-30	Climbing Instructor for kids & adults	$18/hr USD	Yoga Teacher at a climbing gym	35/hr USD			San Diego/CA/USA	12/hr	It would if I worked over  25 hrs per week but I don't.	Yes	no	No	White	Female	The climbing gym I work for is the MOST inclusive and supportive environment I've ever worked in. The  pay is great, employee benefits are great. We get excellent pro deals and birthday gifts and christmas gifts  from climbing industry sponsors. The management does a great job of helping us fulfill our professional goals  and even gives us up to $400/year for workshops or trainings. 
7/21/2020 12:56:09	Full Time	1-3	22-30	Climbing Gym Employee (Management)	18.50 USD	Climbing Instructor (for Adults)	18.5			Crystal City/Virginia/USA	$7.25/hr	Yes	No	Yes	Racism	Pacific Islander	Male	
7/22/2020 13:41:12	Part Time	1-3	22-30	Gym Employed Routesetter	14					chicago	13.5	No	No	Yes, unstable ladders on a padded gym floor. We were  supposed to get sliders for the ladders but we never did. 	Racism, Mostly saw our location's head setter  setter make  bullying remarks about female  coworkers. 	Middle eastern	Male	Routesetting is skilled labor, at unskilled wages. Our gym would have salaried setters and hourly folks working at the same time,  which caused our days to end early. This negatively affected all the hourly setters having them lose about a day of work over the  course of a week. 
7/22/2020 15:15:16	Full Time	1-3	30-40	Climbing Gym Employee (Management)	52,500 per year					Chicago, IL	14	Yes	Yes	No	No	White	Male	
7/22/2020 15:16:12	Part Time	3-5	22-30	Gym Employed Climbing Personal Trainer/Coach	$45 per hourly session	Climbing Instructor (for Children)	$18/hour 	Climbing Instructor (for Adults)	$18/hour 	Brooklyn, NY USA	$15/ hour 	No	No	Yes. Corporate and management repeatedly say how subpar and  ineffective our air filtration systems are and how they’re practically  just there for show and do nothing. We have “chalk eaters”. 	Sexism	White	Female	It’s harder to make it as a girl. It takes way longer to become a female route setter despite having 2 years experience setting  at a previous gym. I still haven’t  been made a setter despite being known as the strongest female climber in my gym. 
7/22/2020 15:27:45	Full Time	10+	22-30	Gym Employed Routesetter	23					Bay Area/CA/USA	16.25	Yes	No	Yes	Racism, Sexism, Homophobia, Transphobia	Asian	Male	
